IR Value,Red Value,Heart Rate,SpO2
36969,62051,,
36965,62044,,
36965,62044,,
36974,62046,,
36966,62030,,
36964,62024,,
36963,62038,,
36970,62038,,
36962,62022,,
36967,62032,,
36969,62036,,
36960,62027,,
36964,62030,,
36959,62041,,
36965,62030,,
36975,62033,,
36965,62033,,
36967,62038,,
36965,62032,,
36966,62036,,
36965,62026,,
36965,62020,,
36969,62013,,
36970,62033,,
36966,62022,,
36970,62022,,
36970,62022,,
36965,62042,,
36965,62026,,
36977,62037,,
36973,62031,,
36971,62050,,
36962,62043,,
36966,62051,,
36966,62052,,
36978,62055,,
36974,62063,,
36971,62057,,
36970,62058,,
36980,62069,,
36975,62066,,
36971,62059,,
36975,62066,,
36978,62059,,
36977,62072,,
36966,62075,,
36974,62068,,
36975,62075,,
36975,62058,,
36977,62062,,
36976,62055,,
36973,62043,,
36979,62044,,
36985,62050,,
36979,62036,,
36983,62055,,
36974,62037,,
36988,62041,,
36992,62057,,
37002,62057,,
37010,62078,,
37010,62071,,
37022,62083,,
37025,62101,,
37041,62109,,
37053,62111,,
37056,62112,,
37058,62124,,
37072,62123,,
37071,62135,,
37086,62149,,
37092,62157,,
37089,62164,,
37097,62162,,
37103,62174,,
37104,62174,,
37104,62174,,
37116,62191,,
37106,62178,,
37108,62194,,
37112,62184,,
37118,62182,,
37122,62203,,
37132,62210,,
37127,62197,,
37127,62211,,
37129,62212,,
37133,62207,,
37141,62204,,
37141,62198,,
37145,62213,,
37142,62206,,
37148,62197,,
37148,62202,,
37142,62188,,
37147,62199,,
37142,62200,,
37156,62210,,
37150,62197,,
37150,62207,,
37148,62198,,
37161,62214,,
37156,62208,,
37161,62232,,
37150,62203,,
37157,62218,,
37153,62221,,
37160,62215,,
37167,62203,,
37164,62208,,
37161,62216,,
37170,62218,,
37167,62211,,
37169,62209,,
37156,62214,,
37173,62226,,
37176,62236,,
37168,62230,,
37178,62219,,
37171,62232,,
37177,62224,,
37188,62231,,
37181,62222,,
37178,62241,,
37176,62231,,
37179,62232,,
37182,62247,,
37180,62234,,
37184,62234,,
37179,62218,,
37179,62224,,
37179,62219,,
37187,62226,,
37178,62219,,
37184,62209,,
37180,62210,,
37180,62210,,
37181,62218,,
37175,62211,,
37185,62219,,
37181,62221,,
37188,62229,,
37181,62218,,
37188,62234,,
37176,62226,,
37184,62224,,
37189,62227,,
37190,62247,,
37177,62226,,
37187,62229,,
37193,62238,,
37181,62219,,
37194,62236,,
37192,62247,,
37195,62233,,
37193,62242,,
37194,62249,,
37208,62252,,
37202,62237,,
37196,62257,,
37205,62254,,
37205,62260,,
37200,62254,,
37200,62258,,
37200,62261,,
37198,62268,,
37215,62260,,
37200,62238,,
37206,62253,,
37201,62263,,
37202,62253,,
37202,62247,,
37198,62250,,
37202,62247,,
37198,62230,,
37198,62240,,
37202,62222,,
37189,62217,,
37200,62226,,
37191,62210,,
37197,62232,,
37188,62206,,
37196,62213,,
37196,62213,,
37191,62213,,
37193,62209,,
37192,62204,,
37199,62215,,
37190,62201,,
37198,62222,,
37192,62201,,
37187,62193,,
