IR Value,Red Value,Heart Rate,SpO2
11028,29718,,
11034,29716,,
11032,29713,,
11026,29711,,
11033,29712,,
11027,29718,,
11031,29722,,
11034,29732,,
11036,29733,,
11043,29738,,
11036,29740,,
11036,29730,,
11041,29739,,
11032,29735,,
11044,29739,,
11038,29729,,
11039,29743,,
11038,29740,,
11042,29751,,
11040,29753,,
11040,29750,,
11045,29751,,
11044,29749,,
11045,29755,,
11047,29759,,
11046,29752,,
11049,29764,,
11046,29763,,
11046,29765,,
11054,29780,,
11053,29780,,
11058,29789,,
11058,29782,,
11053,29784,,
11050,29773,,
11045,29756,,
11045,29756,,
11047,29760,,
11049,29763,,
11051,29770,,
11052,29773,,
11050,29774,,
11047,29774,,
11049,29773,,
11049,29773,,
11054,29775,,
11048,29767,,
11050,29767,,
11047,29767,,
11053,29783,,
11054,29788,,
11055,29785,,
11054,29788,,
11046,29773,,
11053,29780,,
11055,29784,,
11051,29778,,
11056,29792,,
11057,29794,,
11056,29791,,
11060,29792,,
11052,29778,,
11057,29787,,
11060,29788,,
11059,29798,,
11063,29801,,
11063,29801,,
11055,29796,,
11058,29780,,
11058,29787,,
11057,29792,,
11056,29788,,
11060,29800,,
11065,29804,,
11066,29817,,
11063,29808,,
11062,29811,,
11061,29807,,
11066,29808,,
11064,29819,,
11069,29817,,
11066,29817,,
11068,29831,,
11073,29833,,
11070,29831,,
11078,29832,,
11075,29826,,
11065,29817,,
11072,29820,,
11067,29822,,
11073,29828,,
11077,29841,,
11072,29848,,
11081,29852,,
11073,29836,,
11071,29837,,
11069,29829,,
11071,29832,,
11077,29841,,
11074,29838,,
11079,29847,,
11076,29840,,
11076,29842,,
11077,29842,,
11074,29841,,
11077,29845,,
11083,29854,,
11076,29852,,
11084,29852,,
11084,29852,,
11081,29847,,
11079,29861,,
11079,29851,,
11076,29849,,
11079,29845,,
11079,29847,,
11078,29850,,
11081,29854,,
11084,29866,,
11088,29876,,
11081,29856,,
11083,29859,,
11083,29862,,
11079,29857,,
11090,29868,,
11084,29873,,
11089,29878,,
11092,29880,,
11090,29882,,
11096,29887,,
11087,29883,,
11089,29881,,
11094,29889,,
11093,29893,,
11098,29908,,
11095,29893,,
11094,29897,,
11096,29898,,
11092,29895,,
11104,29909,,
11097,29897,,
11101,29912,,
