IR Value,Red Value,Heart Rate,SpO2
36513,61691,,
36510,61696,,
36518,61684,,
36518,61692,,
36520,61687,,
36518,61715,,
36510,61693,,
36518,61704,,
36507,61705,,
36518,61701,,
36518,61694,,
36528,61712,,
36524,61705,,
36536,61713,,
36529,61714,,
36535,61725,,
36530,61715,,
36535,61727,,
36535,61727,,
36542,61724,,
36551,61733,,
36557,61736,,
36548,61734,,
36548,61734,,
36543,61726,,
36543,61726,,
36560,61734,,
36555,61719,,
36556,61725,,
36556,61727,,
36553,61716,,
36554,61726,,
36561,61710,,
36556,61717,,
36553,61716,,
36565,61719,,
36561,61713,,
36568,61707,,
36569,61725,,
36571,61711,,
36572,61740,,
36581,61725,,
36577,61732,,
36583,61730,,
36589,61722,,
36592,61733,,
36595,61746,,
36599,61734,,
36600,61727,,
36607,61748,,
36613,61748,,
36613,61755,,
36610,61748,,
36620,61757,,
36622,61764,,
36622,61756,,
36629,61752,,
36630,61766,,
36630,61770,,
36637,61770,,
36643,61779,,
36638,61778,,
36656,61789,,
36659,61773,,
36660,61785,,
36654,61783,,
36666,61790,,
36673,61794,,
36672,61785,,
36680,61804,,
36685,61803,,
36695,61793,,
36695,61793,,
36696,61783,,
36700,61800,,
36701,61792,,
36705,61789,,
36717,61803,,
36710,61794,,
36720,61817,,
36713,61808,,
36720,61815,,
36721,61829,,
36729,61826,,
36738,61831,,
36732,61821,,
36737,61833,,
36734,61845,,
36743,61848,,
36738,61840,,
36750,61835,,
36756,61841,,
36759,61840,,
36756,61855,,
36755,61843,,
36758,61854,,
36758,61863,,
36760,61852,,
36767,61867,,
36770,61863,,
36767,61858,,
36774,61868,,
36774,61879,,
36777,61881,,
36778,61878,,
36776,61886,,
36768,61877,,
36773,61880,,
36776,61892,,
36777,61877,,
36782,61883,,
36776,61880,,
36785,61880,,
36780,61866,,
36778,61880,,
36776,61874,,
36777,61860,,
36781,61863,,
36774,61862,,
36776,61859,,
36784,61871,,
36778,61864,,
36785,61864,,
36786,61880,,
36778,61858,,
36783,61865,,
36775,61872,,
36778,61864,,
36784,61875,,
36788,61863,,
36788,61874,,
36788,61874,,
36781,61864,,
36793,61880,,
36778,61882,,
36794,61888,,
36788,61888,,
36785,61882,,
36798,61891,,
36796,61883,,
36792,61898,,
36792,61896,,
36791,61891,,
36789,61896,,
36791,61889,,
36798,61894,,
36793,61889,,
36802,61895,,
36799,61903,,
36802,61897,,
36796,61899,,
36801,61888,,
36798,61896,,
36795,61885,,
36800,61889,,
36795,61890,,
36795,61886,,
36803,61887,,
36798,61886,,
36814,61890,,
36799,61888,,
36802,61887,,
36792,61881,,
36804,61895,,
36805,61895,,
36804,61885,,
36799,61890,,
36804,61898,,
36804,61893,,
36804,61890,,
36815,61904,,
36808,61900,,
36807,61911,,
36807,61888,,
36803,61911,,
36811,61911,,
36814,61913,,
36809,61902,,
36807,61916,,
36799,61900,,
36803,61914,,
36797,61913,,
36797,61913,,
36802,61913,,
36811,61924,,
36808,61905,,
36804,61933,,
36801,61914,,
36804,61928,,
36797,61917,,
36805,61915,,
36801,61911,,
36809,61900,,
36811,61911,,
36795,61916,,
36796,61894,,
36797,61907,,
36803,61904,,
36803,61903,,
36806,61911,107,92
36796,61906,,
36803,61906,,
36803,61899,,
36799,61896,,
36808,61915,,
36795,61904,,
36805,61902,,
36799,61903,,
36801,61903,,
36806,61895,,
36802,61901,,
36812,61907,,
36802,61915,,
36800,61917,,
36806,61907,,
36803,61925,,
36804,61917,,
36802,61926,,
36799,61917,,
36799,61912,,
36801,61925,,
36800,61909,,
36817,61926,,
36806,61910,,
36804,61926,,
36805,61926,,
36809,61917,,
36808,61912,,
36809,61922,,
36813,61942,,
36804,61923,,
36815,61931,,
36807,61935,,
36805,61916,,
36817,61915,,
36804,61922,,
36808,61913,,
36803,61905,,
36809,61914,,
36809,61914,,
36800,61908,,
36810,61898,,
36809,61915,,
36806,61897,,
36811,61913,,
36798,61906,,
36807,61903,,
36808,61914,,
36806,61911,,
36801,61902,,
36804,61908,,
36801,61913,,
36806,61897,,
36818,61904,,
36815,61908,,
36810,61919,,
36804,61918,,
36808,61916,,
36814,61922,,
36813,61916,,
36813,61919,,
36817,61929,,
36814,61922,,
36824,61937,,
36814,61914,,
36810,61933,,
36813,61923,,
36819,61926,,
36822,61932,,
36819,61932,,
36824,61945,,
36814,61940,,
36817,61943,,
36825,61940,,
36821,61932,,
36820,61948,,
36816,61942,,
36815,61926,,
36817,61939,,
36816,61923,,
36817,61939,,
36811,61923,,
36813,61937,,
36813,61927,,
36809,61930,,
36806,61926,,
36806,61906,,
36818,61934,,
36806,61912,,
36806,61912,,
36816,61931,,
36805,61922,,
36816,61925,,
36811,61934,,
36809,61925,,
36807,61933,,
36821,61944,,
36811,61928,,
36816,61944,,
36813,61933,,
36811,61939,,
36805,61938,,
36814,61918,,
36812,61938,,
36817,61951,,
36817,61953,,
36806,61945,,
36810,61955,,
36812,61931,,
36818,61945,,
36814,61952,,
36818,61954,,
36815,61952,,
36820,61939,,
36818,61959,,
36810,61935,,
36818,61938,,
36813,61941,,
36813,61945,,
36815,61943,,
36804,61922,,
36807,61923,,
36806,61918,,
36811,61921,,
36813,61922,,
36813,61915,,
36816,61921,,
36811,61931,,
36815,61922,,
36825,61909,,
36817,61921,,
36822,61934,,
36820,61929,,
36816,61931,,
36812,61928,,
36814,61917,,
36820,61925,,
36820,61919,,
36825,61935,,
36814,61930,,
36828,61921,,
36829,61928,,
36823,61934,,
36824,61933,,
36819,61925,,
36829,61932,,
36820,61934,,
36822,61943,,
36829,61934,,
36829,61934,,
36823,61934,,
36834,61955,,
36822,61943,,
36831,61940,,
36824,61943,,
36836,61952,,
36824,61942,,
36826,61942,,
36830,61934,,
36827,61922,,
36832,61934,,
36828,61920,,
36824,61923,,
36826,61923,,
36826,61910,,
36825,61930,,
36819,61921,,
36826,61920,,
36830,61914,,
36830,61923,,
36832,61929,,
36835,61931,,
36836,61928,,
36836,61935,,
36832,61915,,
36841,61928,,
36833,61933,,
36840,61929,,
36840,61922,,
36841,61933,,
36840,61931,,
36846,61936,,
36845,61922,,
36844,61947,,
36842,61937,,
36837,61939,,
36839,61944,,
36848,61954,,
36850,61939,,
36845,61956,,
36848,61947,,
36844,61955,,
36847,61955,,
36846,61944,,
36851,61951,,
36849,61939,,
36849,61939,,
36855,61945,,
36844,61936,,
36847,61947,75,87
36841,61931,,
36852,61932,,
36842,61926,,
36844,61918,,
36855,61930,,
36845,61918,,
36856,61928,,
36850,61923,,
36852,61930,,
36852,61930,,
36847,61941,,
36850,61934,,
36856,61930,,
36857,61928,,
36860,61942,,
36855,61928,,
36863,61935,,
36865,61925,,
36862,61931,,
36863,61934,,
36865,61944,,
36869,61950,,
36863,61942,,
36868,61938,,
36872,61932,,
36866,61962,,
36868,61957,,
36865,61946,,
36872,61948,,
36871,61957,,
36873,61961,,
36882,61958,,
36878,61953,,
36884,61953,,
36875,61948,,
36879,61962,,
36871,61960,,
36877,61950,,
36873,61957,,
36876,61940,,
36881,61955,,
36871,61942,,
36877,61932,,
36875,61950,,
36878,61927,,
36884,61942,,
36878,61933,,
36875,61951,,
36879,61938,,
36882,61944,,
36879,61942,,
36880,61957,,
36886,61947,,
36881,61956,,
36879,61948,,
36887,61960,,
36883,61950,,
36889,61954,,
36889,61954,,
36884,61959,,
36887,61978,,
36891,61978,,
36891,61946,,
36892,61965,,
36887,61955,,
36890,61977,,
36903,61983,,
36894,61969,,
36897,61986,,
36897,61976,,
36897,61975,,
36905,61991,,
36900,61987,,
36901,62004,,
36892,61991,,
36906,61987,,
36908,61992,,
36905,61987,,
36912,61990,,
