IR Value,Red Value,Heart Rate,SpO2
37145,62128,,
37149,62127,,
37147,62134,,
37148,62127,,
37145,62116,,
37150,62123,,
37140,62130,,
37147,62097,,
37140,62100,,
37134,62118,,
37132,62098,,
37134,62095,,
37127,62098,,
37126,62091,,
37126,62093,,
37123,62097,,
37117,62088,,
37120,62083,,
37109,62080,,
37102,62082,,
37081,62070,,
37063,62062,,
37063,62062,,
37049,62063,,
37037,62061,,
37049,62077,,
37050,62075,,
37058,62079,,
37048,62080,,
37065,62073,,
37073,62083,,
37080,62093,,
37095,62114,,
37092,62099,,
37084,62108,,
37100,62106,,
37108,62121,,
37107,62113,,
37117,62126,,
37093,62112,,
37088,62095,,
37096,62092,,
37099,62094,,
37104,62082,,
37114,62083,,
37110,62104,,
37123,62111,,
37112,62098,,
37118,62118,,
37121,62116,,
37123,62113,,
37120,62100,,
37125,62093,,
37119,62109,,
37123,62103,,
37125,62099,,
37121,62092,,
37136,62106,,
37131,62113,,
37135,62120,,
37136,62123,,
37136,62133,,
37136,62120,,
37144,62134,,
37144,62137,,
37145,62159,,
37143,62155,,
37144,62155,,
37146,62154,,
37153,62166,,
37153,62162,,
37153,62162,,
37160,62176,,
37153,62156,,
37157,62164,,
37164,62172,,
37164,62159,,
37166,62177,,
37159,62170,,
37163,62167,,
37168,62171,,
37167,62170,,
37168,62162,,
37170,62164,,
37172,62167,,
37170,62162,,
37168,62181,,
37170,62166,,
37168,62165,,
37174,62172,,
37166,62165,,
37170,62186,,
37171,62176,,
37162,62168,,
37169,62176,,
37169,62180,,
37171,62181,,
37166,62177,,
37167,62170,,
37164,62175,,
37169,62158,,
37166,62173,,
37166,62169,,
37171,62176,,
37174,62179,,
37176,62191,,
37163,62181,,
37170,62191,,
37170,62189,,
37166,62181,,
37173,62187,,
37172,62200,,
37169,62200,,
37177,62197,,
37174,62185,,
37170,62189,,
37168,62178,,
37180,62177,,
37170,62187,,
37177,62177,,
37173,62163,,
37173,62172,,
37162,62167,,
37166,62165,,
37169,62165,,
37164,62165,,
37174,62175,,
37168,62168,,
37170,62173,,
37164,62180,,
37164,62167,,
37164,62167,,
37163,62175,,
37152,62154,,
37153,62158,,
37143,62161,,
37148,62155,,
37134,62144,,
37147,62140,,
37146,62140,,
37140,62133,,
37140,62159,,
37138,62145,,
37135,62136,,
37136,62145,,
37140,62150,,
37130,62153,,
37129,62159,,
37128,62148,,
37133,62161,,
37128,62159,,
37132,62161,,
37137,62161,,
37134,62143,,
37136,62168,,
37134,62152,,
37138,62163,,
37124,62143,,
37136,62153,,
37131,62141,,
37124,62134,,
37129,62136,,
37137,62144,,
37129,62134,,
37133,62147,,
37127,62144,,
37131,62152,,
37126,62147,,
37137,62159,,
37131,62141,,
37126,62141,,
37133,62152,,
37133,62151,,
37140,62149,,
37140,62156,,
37133,62137,,
37138,62151,,
37125,62163,142,100
37135,62147,,
37143,62159,,
37132,62159,,
37132,62159,,
37140,62159,,
37134,62154,,
37136,62166,,
37129,62167,,
37134,62153,,
37138,62172,,
37141,62164,,
37148,62175,,
37142,62155,,
37139,62176,,
37138,62173,,
37139,62172,,
37135,62156,,
37143,62165,,
37133,62171,,
37136,62157,,
37143,62148,,
37137,62158,,
37134,62156,,
37141,62151,,
37132,62143,,
37145,62156,,
37137,62156,,
37141,62140,,
37130,62168,,
37141,62153,,
37140,62161,,
37140,62150,,
37151,62160,,
37142,62154,,
37148,62175,,
37146,62154,,
37145,62167,,
37144,62167,,
37153,62161,,
37154,62175,,
37151,62158,,
37149,62162,,
37158,62174,,
37146,62174,,
37153,62187,,
37143,62188,,
37149,62163,,
37157,62185,,
37147,62174,,
37155,62191,,
37149,62170,,
37147,62187,,
37149,62183,,
37153,62181,,
37152,62177,,
37146,62191,,
